,GraduationYear,FieldofStudy,NFQLevel,Institutions,NumberofGraduates
4937,2012,Information and Communication Technologies,NFQ Level 7,IT Carlow,10
4939,2012,Information and Communication Technologies,NFQ Level 7,Dundalk IT,30
4943,2012,Information and Communication Technologies,NFQ Level 7,Galway-Mayo IT,20
4945,2012,Information and Communication Technologies,NFQ Level 7,Limerick IT,20
4947,2012,Information and Communication Technologies,NFQ Level 7,Letterkenny IT,10
4953,2012,Information and Communication Technologies,NFQ Level 7,IT Sligo,30
4954,2012,Information and Communication Technologies,NFQ Level 7,IT Tallaght,20
4955,2012,Information and Communication Technologies,NFQ Level 7,IT Tralee,20
4958,2012,Information and Communication Technologies,NFQ Level 7,Waterford IT,30
4961,2012,Information and Communication Technologies,NFQ Level 8,Athlone IT,30
4963,2012,Information and Communication Technologies,NFQ Level 8,IT Blanchardstown,20
4964,2012,Information and Communication Technologies,NFQ Level 8,University College Cork,140
4965,2012,Information and Communication Technologies,NFQ Level 8,Cork IT,10
4966,2012,Information and Communication Technologies,NFQ Level 8,IT Carlow,30
4967,2012,Information and Communication Technologies,NFQ Level 8,Dublin City University,60
4968,2012,Information and Communication Technologies,NFQ Level 8,Dundalk IT,30
4969,2012,Information and Communication Technologies,NFQ Level 8,"Dun Laoghaire Institute of Art, Design and Technology",10
4970,2012,Information and Communication Technologies,NFQ Level 8,University College Dublin,30
4971,2012,Information and Communication Technologies,NFQ Level 8,Dublin Institute of Technology,60
4972,2012,Information and Communication Technologies,NFQ Level 8,Galway-Mayo IT,50
4973,2012,Information and Communication Technologies,NFQ Level 8,"National University of Ireland, Galway",20
4974,2012,Information and Communication Technologies,NFQ Level 8,Limerick IT,30
4975,2012,Information and Communication Technologies,NFQ Level 8,University of Limerick,50
4976,2012,Information and Communication Technologies,NFQ Level 8,Letterkenny IT,20
4978,2012,Information and Communication Technologies,NFQ Level 8,Maynooth University,50
4982,2012,Information and Communication Technologies,NFQ Level 8,IT Sligo,10
4983,2012,Information and Communication Technologies,NFQ Level 8,IT Tallaght,30
4984,2012,Information and Communication Technologies,NFQ Level 8,IT Tralee,10
4985,2012,Information and Communication Technologies,NFQ Level 8,Trinity College Dublin,10
4987,2012,Information and Communication Technologies,NFQ Level 8,Waterford IT,20
4990,2012,Information and Communication Technologies,NFQ Level 9,Athlone IT,10
4993,2012,Information and Communication Technologies,NFQ Level 9,University College Cork,70
4996,2012,Information and Communication Technologies,NFQ Level 9,Dublin City University,60
4999,2012,Information and Communication Technologies,NFQ Level 9,University College Dublin,40
5000,2012,Information and Communication Technologies,NFQ Level 9,Dublin Institute of Technology,10
5001,2012,Information and Communication Technologies,NFQ Level 9,Galway-Mayo IT,10
5002,2012,Information and Communication Technologies,NFQ Level 9,"National University of Ireland, Galway",10
5004,2012,Information and Communication Technologies,NFQ Level 9,University of Limerick,30
5005,2012,Information and Communication Technologies,NFQ Level 9,Letterkenny IT,10
5007,2012,Information and Communication Technologies,NFQ Level 9,Maynooth University,10
5014,2012,Information and Communication Technologies,NFQ Level 9,Trinity College Dublin,30
5016,2012,Information and Communication Technologies,NFQ Level 9,Waterford IT,10
5025,2012,Information and Communication Technologies,NFQ Level 10,Dublin City University,10
5077,2012,"Engineering, Manufacturing and Construction",NFQ Level 6,Athlone IT,10
5090,2012,"Engineering, Manufacturing and Construction",NFQ Level 6,Limerick IT,60
5099,2012,"Engineering, Manufacturing and Construction",NFQ Level 6,IT Tallaght,30
5100,2012,"Engineering, Manufacturing and Construction",NFQ Level 6,IT Tralee,10
5103,2012,"Engineering, Manufacturing and Construction",NFQ Level 6,Waterford IT,20
5106,2012,"Engineering, Manufacturing and Construction",NFQ Level 7,Athlone IT,20
5108,2012,"Engineering, Manufacturing and Construction",NFQ Level 7,IT Blanchardstown,10
5110,2012,"Engineering, Manufacturing and Construction",NFQ Level 7,Cork IT,160
5111,2012,"Engineering, Manufacturing and Construction",NFQ Level 7,IT Carlow,80
5113,2012,"Engineering, Manufacturing and Construction",NFQ Level 7,Dundalk IT,80
5116,2012,"Engineering, Manufacturing and Construction",NFQ Level 7,Dublin Institute of Technology,190
5117,2012,"Engineering, Manufacturing and Construction",NFQ Level 7,Galway-Mayo IT,120
5119,2012,"Engineering, Manufacturing and Construction",NFQ Level 7,Limerick IT,100
5121,2012,"Engineering, Manufacturing and Construction",NFQ Level 7,Letterkenny IT,30
5127,2012,"Engineering, Manufacturing and Construction",NFQ Level 7,IT Sligo,70
5128,2012,"Engineering, Manufacturing and Construction",NFQ Level 7,IT Tallaght,50
5129,2012,"Engineering, Manufacturing and Construction",NFQ Level 7,IT Tralee,20
5132,2012,"Engineering, Manufacturing and Construction",NFQ Level 7,Waterford IT,60
5135,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,Athlone IT,20
5137,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,IT Blanchardstown,10
5138,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,University College Cork,160
5139,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,Cork IT,270
5140,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,IT Carlow,50
5141,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,Dublin City University,30
5142,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,Dundalk IT,80
5144,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,University College Dublin,300
5145,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,Dublin Institute of Technology,370
5146,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,Galway-Mayo IT,120
5147,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,"National University of Ireland, Galway",180
5148,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,Limerick IT,170
5149,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,University of Limerick,360
5150,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,Letterkenny IT,40
5152,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,Maynooth University,30
5156,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,IT Sligo,90
5157,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,IT Tallaght,30
5158,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,IT Tralee,10
5159,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,Trinity College Dublin,160
5161,2012,"Engineering, Manufacturing and Construction",NFQ Level 8,Waterford IT,140
5167,2012,"Engineering, Manufacturing and Construction",NFQ Level 9,University College Cork,10
5168,2012,"Engineering, Manufacturing and Construction",NFQ Level 9,Cork IT,40
5170,2012,"Engineering, Manufacturing and Construction",NFQ Level 9,Dublin City University,10
5173,2012,"Engineering, Manufacturing and Construction",NFQ Level 9,University College Dublin,130
5174,2012,"Engineering, Manufacturing and Construction",NFQ Level 9,Dublin Institute of Technology,40
5175,2012,"Engineering, Manufacturing and Construction",NFQ Level 9,Galway-Mayo IT,10
5176,2012,"Engineering, Manufacturing and Construction",NFQ Level 9,"National University of Ireland, Galway",30
5177,2012,"Engineering, Manufacturing and Construction",NFQ Level 9,Limerick IT,10
5178,2012,"Engineering, Manufacturing and Construction",NFQ Level 9,University of Limerick,40
5188,2012,"Engineering, Manufacturing and Construction",NFQ Level 9,Trinity College Dublin,40
5190,2012,"Engineering, Manufacturing and Construction",NFQ Level 9,Waterford IT,10
5196,2012,"Engineering, Manufacturing and Construction",NFQ Level 10,University College Cork,10
5199,2012,"Engineering, Manufacturing and Construction",NFQ Level 10,Dublin City University,10
5202,2012,"Engineering, Manufacturing and Construction",NFQ Level 10,University College Dublin,20
5205,2012,"Engineering, Manufacturing and Construction",NFQ Level 10,"National University of Ireland, Galway",10
5207,2012,"Engineering, Manufacturing and Construction",NFQ Level 10,University of Limerick,30
5217,2012,"Engineering, Manufacturing and Construction",NFQ Level 10,Trinity College Dublin,20
5258,2012,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 6,Dundalk IT,30
5274,2012,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 6,IT Tralee,10
5277,2012,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 6,Waterford IT,40
5280,2012,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 7,Athlone IT,10
5282,2012,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 7,IT Blanchardstown,10
5284,2012,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 7,Cork IT,30
5287,2012,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 7,Dundalk IT,60
5291,2012,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 7,Galway-Mayo IT,40
5295,2012,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 7,Letterkenny IT,10
5303,2012,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 7,IT Tralee,10
5306,2012,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 7,Waterford IT,50
5316,2012,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 8,Dundalk IT,20
5318,2012,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 8,University College Dublin,230
5320,2012,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 8,Galway-Mayo IT,10
5323,2012,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 8,University of Limerick,10
5335,2012,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 8,Waterford IT,20
5347,2012,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 9,University College Dublin,50
5376,2012,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 10,University College Dublin,20
5425,2012,Health and Welfare,NFQ Level 6,Athlone IT,70
5430,2012,Health and Welfare,NFQ Level 6,IT Carlow,30
5435,2012,Health and Welfare,NFQ Level 6,Dublin Institute of Technology,10
5437,2012,Health and Welfare,NFQ Level 6,"National University of Ireland, Galway",110
5454,2012,Health and Welfare,NFQ Level 7,Athlone IT,50
5456,2012,Health and Welfare,NFQ Level 7,IT Blanchardstown,30
5458,2012,Health and Welfare,NFQ Level 7,Cork IT,90
5459,2012,Health and Welfare,NFQ Level 7,IT Carlow,40
5461,2012,Health and Welfare,NFQ Level 7,Dundalk IT,20
5469,2012,Health and Welfare,NFQ Level 7,Letterkenny IT,30
5475,2012,Health and Welfare,NFQ Level 7,IT Sligo,50
5476,2012,Health and Welfare,NFQ Level 7,IT Tallaght,10
5477,2012,Health and Welfare,NFQ Level 7,IT Tralee,40
5478,2012,Health and Welfare,NFQ Level 7,Trinity College Dublin,10
5480,2012,Health and Welfare,NFQ Level 7,Waterford IT,20
5483,2012,Health and Welfare,NFQ Level 8,Athlone IT,100
5484,2012,Health and Welfare,NFQ Level 8,St Angela's College of Home Economics,40
5485,2012,Health and Welfare,NFQ Level 8,IT Blanchardstown,40
5486,2012,Health and Welfare,NFQ Level 8,University College Cork,440
5487,2012,Health and Welfare,NFQ Level 8,Cork IT,60
5488,2012,Health and Welfare,NFQ Level 8,IT Carlow,70
5489,2012,Health and Welfare,NFQ Level 8,Dublin City University,220
5490,2012,Health and Welfare,NFQ Level 8,Dundalk IT,140
5492,2012,Health and Welfare,NFQ Level 8,University College Dublin,480
5493,2012,Health and Welfare,NFQ Level 8,Dublin Institute of Technology,130
5494,2012,Health and Welfare,NFQ Level 8,Galway-Mayo IT,40
5495,2012,Health and Welfare,NFQ Level 8,"National University of Ireland, Galway",270
5496,2012,Health and Welfare,NFQ Level 8,Limerick IT,60
5497,2012,Health and Welfare,NFQ Level 8,University of Limerick,180
5498,2012,Health and Welfare,NFQ Level 8,Letterkenny IT,40
5503,2012,Health and Welfare,NFQ Level 8,Royal College of Surgeons,180
5504,2012,Health and Welfare,NFQ Level 8,IT Sligo,120
5505,2012,Health and Welfare,NFQ Level 8,IT Tallaght,20
5506,2012,Health and Welfare,NFQ Level 8,IT Tralee,70
5507,2012,Health and Welfare,NFQ Level 8,Trinity College Dublin,420
5509,2012,Health and Welfare,NFQ Level 8,Waterford IT,260
5511,2012,Health and Welfare,NFQ Level 9,National College of Art and Design,10
5512,2012,Health and Welfare,NFQ Level 9,Athlone IT,10
5515,2012,Health and Welfare,NFQ Level 9,University College Cork,50
5518,2012,Health and Welfare,NFQ Level 9,Dublin City University,10
5521,2012,Health and Welfare,NFQ Level 9,University College Dublin,100
5524,2012,Health and Welfare,NFQ Level 9,"National University of Ireland, Galway",70
5526,2012,Health and Welfare,NFQ Level 9,University of Limerick,40
5529,2012,Health and Welfare,NFQ Level 9,Maynooth University,20
5532,2012,Health and Welfare,NFQ Level 9,Royal College of Surgeons,140
5536,2012,Health and Welfare,NFQ Level 9,Trinity College Dublin,120
5544,2012,Health and Welfare,NFQ Level 10,University College Cork,10
5550,2012,Health and Welfare,NFQ Level 10,University College Dublin,20
5561,2012,Health and Welfare,NFQ Level 10,Royal College of Surgeons,20
5565,2012,Health and Welfare,NFQ Level 10,Trinity College Dublin,30
5599,2012,Services,NFQ Level 6,Athlone IT,30
5603,2012,Services,NFQ Level 6,Cork IT,30
5609,2012,Services,NFQ Level 6,Dublin Institute of Technology,30
5610,2012,Services,NFQ Level 6,Galway-Mayo IT,10
5612,2012,Services,NFQ Level 6,Limerick IT,10
5613,2012,Services,NFQ Level 6,University of Limerick,120
5621,2012,Services,NFQ Level 6,IT Tallaght,10
5622,2012,Services,NFQ Level 6,IT Tralee,10
5625,2012,Services,NFQ Level 6,Waterford IT,10
5628,2012,Services,NFQ Level 7,Athlone IT,40
5630,2012,Services,NFQ Level 7,IT Blanchardstown,10
5632,2012,Services,NFQ Level 7,Cork IT,120
5633,2012,Services,NFQ Level 7,IT Carlow,40
5635,2012,Services,NFQ Level 7,Dundalk IT,40
5638,2012,Services,NFQ Level 7,Dublin Institute of Technology,90
5639,2012,Services,NFQ Level 7,Galway-Mayo IT,90
5643,2012,Services,NFQ Level 7,Letterkenny IT,20
5649,2012,Services,NFQ Level 7,IT Sligo,120
5651,2012,Services,NFQ Level 7,IT Tralee,40
5654,2012,Services,NFQ Level 7,Waterford IT,50
5657,2012,Services,NFQ Level 8,Athlone IT,30
5659,2012,Services,NFQ Level 8,IT Blanchardstown,10
5661,2012,Services,NFQ Level 8,Cork IT,40
5662,2012,Services,NFQ Level 8,IT Carlow,10
5664,2012,Services,NFQ Level 8,Dundalk IT,20
5667,2012,Services,NFQ Level 8,Dublin Institute of Technology,170
5668,2012,Services,NFQ Level 8,Galway-Mayo IT,50
5669,2012,Services,NFQ Level 8,"National University of Ireland, Galway",20
5670,2012,Services,NFQ Level 8,Limerick IT,20
5672,2012,Services,NFQ Level 8,Letterkenny IT,20
5678,2012,Services,NFQ Level 8,IT Sligo,40
5680,2012,Services,NFQ Level 8,IT Tralee,60
5683,2012,Services,NFQ Level 8,Waterford IT,50
5696,2012,Services,NFQ Level 9,Dublin Institute of Technology,30
5698,2012,Services,NFQ Level 9,"National University of Ireland, Galway",10
5700,2012,Services,NFQ Level 9,University of Limerick,20
5712,2012,Services,NFQ Level 9,Waterford IT,10
6004,2013,Education,NFQ Level 8,National College of Art and Design,20
6006,2013,Education,NFQ Level 8,St Angela's College of Home Economics,40
6008,2013,Education,NFQ Level 8,University College Cork,40
6011,2013,Education,NFQ Level 8,Dublin City University,70
6014,2013,Education,NFQ Level 8,University College Dublin,140
6015,2013,Education,NFQ Level 8,Dublin Institute of Technology,30
6017,2013,Education,NFQ Level 8,"National University of Ireland, Galway",40
6018,2013,Education,NFQ Level 8,Limerick IT,10
6019,2013,Education,NFQ Level 8,University of Limerick,200
6021,2013,Education,NFQ Level 8,Mater Dei Institute,70
6022,2013,Education,NFQ Level 8,Maynooth University,110
6023,2013,Education,NFQ Level 8,Mary Immaculate College,430
6024,2013,Education,NFQ Level 8,St. Patrick's College,350
6029,2013,Education,NFQ Level 8,Trinity College Dublin,260
6031,2013,Education,NFQ Level 8,Waterford IT,10
6035,2013,Education,NFQ Level 9,St Angela's College of Home Economics,20
6037,2013,Education,NFQ Level 9,University College Cork,130
6040,2013,Education,NFQ Level 9,Dublin City University,30
6043,2013,Education,NFQ Level 9,University College Dublin,20
6046,2013,Education,NFQ Level 9,"National University of Ireland, Galway",180
6048,2013,Education,NFQ Level 9,University of Limerick,20
6050,2013,Education,NFQ Level 9,Mater Dei Institute,20
6051,2013,Education,NFQ Level 9,Maynooth University,10
6052,2013,Education,NFQ Level 9,Mary Immaculate College,80
6053,2013,Education,NFQ Level 9,St. Patrick's College,70
6058,2013,Education,NFQ Level 9,Trinity College Dublin,20
6060,2013,Education,NFQ Level 9,Waterford IT,10
6121,2013,Arts and Humanities,NFQ Level 6,Athlone IT,10
6134,2013,Arts and Humanities,NFQ Level 6,Limerick IT,10
6138,2013,Arts and Humanities,NFQ Level 6,Maynooth University,10
6150,2013,Arts and Humanities,NFQ Level 7,Athlone IT,10
6154,2013,Arts and Humanities,NFQ Level 7,Cork IT,10
6155,2013,Arts and Humanities,NFQ Level 7,IT Carlow,30
6157,2013,Arts and Humanities,NFQ Level 7,Dundalk IT,30
6158,2013,Arts and Humanities,NFQ Level 7,"Dun Laoghaire Institute of Art, Design and Technology",10
6160,2013,Arts and Humanities,NFQ Level 7,Dublin Institute of Technology,10
6161,2013,Arts and Humanities,NFQ Level 7,Galway-Mayo IT,50
6162,2013,Arts and Humanities,NFQ Level 7,"National University of Ireland, Galway",50
6163,2013,Arts and Humanities,NFQ Level 7,Limerick IT,20
6165,2013,Arts and Humanities,NFQ Level 7,Letterkenny IT,20
6171,2013,Arts and Humanities,NFQ Level 7,IT Sligo,10
6178,2013,Arts and Humanities,NFQ Level 8,National College of Art and Design,140
6179,2013,Arts and Humanities,NFQ Level 8,Athlone IT,20
6182,2013,Arts and Humanities,NFQ Level 8,University College Cork,530
6183,2013,Arts and Humanities,NFQ Level 8,Cork IT,90
6184,2013,Arts and Humanities,NFQ Level 8,IT Carlow,10
6185,2013,Arts and Humanities,NFQ Level 8,Dublin City University,170
6186,2013,Arts and Humanities,NFQ Level 8,Dundalk IT,60
6187,2013,Arts and Humanities,NFQ Level 8,"Dun Laoghaire Institute of Art, Design and Technology",170
6188,2013,Arts and Humanities,NFQ Level 8,University College Dublin,510
6189,2013,Arts and Humanities,NFQ Level 8,Dublin Institute of Technology,160
6190,2013,Arts and Humanities,NFQ Level 8,Galway-Mayo IT,40
6191,2013,Arts and Humanities,NFQ Level 8,"National University of Ireland, Galway",730
6192,2013,Arts and Humanities,NFQ Level 8,Limerick IT,120
6193,2013,Arts and Humanities,NFQ Level 8,University of Limerick,260
6194,2013,Arts and Humanities,NFQ Level 8,Letterkenny IT,10
6195,2013,Arts and Humanities,NFQ Level 8,Mater Dei Institute,20
6196,2013,Arts and Humanities,NFQ Level 8,Maynooth University,560
6197,2013,Arts and Humanities,NFQ Level 8,Mary Immaculate College,180
6198,2013,Arts and Humanities,NFQ Level 8,St. Patrick's College,160
6200,2013,Arts and Humanities,NFQ Level 8,IT Sligo,40
6201,2013,Arts and Humanities,NFQ Level 8,IT Tallaght,40
6202,2013,Arts and Humanities,NFQ Level 8,IT Tralee,40
6203,2013,Arts and Humanities,NFQ Level 8,Trinity College Dublin,520
6205,2013,Arts and Humanities,NFQ Level 8,Waterford IT,70
6207,2013,Arts and Humanities,NFQ Level 9,National College of Art and Design,20
6211,2013,Arts and Humanities,NFQ Level 9,University College Cork,130
6212,2013,Arts and Humanities,NFQ Level 9,Cork IT,20
6214,2013,Arts and Humanities,NFQ Level 9,Dublin City University,50
6215,2013,Arts and Humanities,NFQ Level 9,Dundalk IT,10
6216,2013,Arts and Humanities,NFQ Level 9,"Dun Laoghaire Institute of Art, Design and Technology",10
6217,2013,Arts and Humanities,NFQ Level 9,University College Dublin,160
6218,2013,Arts and Humanities,NFQ Level 9,Dublin Institute of Technology,10
6220,2013,Arts and Humanities,NFQ Level 9,"National University of Ireland, Galway",100
6221,2013,Arts and Humanities,NFQ Level 9,Limerick IT,10
6222,2013,Arts and Humanities,NFQ Level 9,University of Limerick,110
6225,2013,Arts and Humanities,NFQ Level 9,Maynooth University,90
6226,2013,Arts and Humanities,NFQ Level 9,Mary Immaculate College,20
6227,2013,Arts and Humanities,NFQ Level 9,St. Patrick's College,10
6232,2013,Arts and Humanities,NFQ Level 9,Trinity College Dublin,180
6240,2013,Arts and Humanities,NFQ Level 10,University College Cork,10
6246,2013,Arts and Humanities,NFQ Level 10,University College Dublin,10
6249,2013,Arts and Humanities,NFQ Level 10,"National University of Ireland, Galway",10
6251,2013,Arts and Humanities,NFQ Level 10,University of Limerick,10
6254,2013,Arts and Humanities,NFQ Level 10,Maynooth University,10
6261,2013,Arts and Humanities,NFQ Level 10,Trinity College Dublin,10
6335,2013,"Social Sciences, Journalism and Information",NFQ Level 7,Galway-Mayo IT,40
6356,2013,"Social Sciences, Journalism and Information",NFQ Level 8,University College Cork,350
6359,2013,"Social Sciences, Journalism and Information",NFQ Level 8,Dublin City University,100
6361,2013,"Social Sciences, Journalism and Information",NFQ Level 8,"Dun Laoghaire Institute of Art, Design and Technology",60
6362,2013,"Social Sciences, Journalism and Information",NFQ Level 8,University College Dublin,460
6363,2013,"Social Sciences, Journalism and Information",NFQ Level 8,Dublin Institute of Technology,20
6364,2013,"Social Sciences, Journalism and Information",NFQ Level 8,Galway-Mayo IT,30
6365,2013,"Social Sciences, Journalism and Information",NFQ Level 8,"National University of Ireland, Galway",120
6366,2013,"Social Sciences, Journalism and Information",NFQ Level 8,Limerick IT,10
6367,2013,"Social Sciences, Journalism and Information",NFQ Level 8,University of Limerick,60
6370,2013,"Social Sciences, Journalism and Information",NFQ Level 8,Maynooth University,150
6375,2013,"Social Sciences, Journalism and Information",NFQ Level 8,IT Tallaght,40
6377,2013,"Social Sciences, Journalism and Information",NFQ Level 8,Trinity College Dublin,310
6379,2013,"Social Sciences, Journalism and Information",NFQ Level 8,Waterford IT,20
6385,2013,"Social Sciences, Journalism and Information",NFQ Level 9,University College Cork,130
6386,2013,"Social Sciences, Journalism and Information",NFQ Level 9,Cork IT,10
6388,2013,"Social Sciences, Journalism and Information",NFQ Level 9,Dublin City University,60
6391,2013,"Social Sciences, Journalism and Information",NFQ Level 9,University College Dublin,170
6392,2013,"Social Sciences, Journalism and Information",NFQ Level 9,Dublin Institute of Technology,20
6394,2013,"Social Sciences, Journalism and Information",NFQ Level 9,"National University of Ireland, Galway",160
6396,2013,"Social Sciences, Journalism and Information",NFQ Level 9,University of Limerick,60
6399,2013,"Social Sciences, Journalism and Information",NFQ Level 9,Maynooth University,30
6406,2013,"Social Sciences, Journalism and Information",NFQ Level 9,Trinity College Dublin,130
6420,2013,"Social Sciences, Journalism and Information",NFQ Level 10,University College Dublin,10
6423,2013,"Social Sciences, Journalism and Information",NFQ Level 10,"National University of Ireland, Galway",10
6435,2013,"Social Sciences, Journalism and Information",NFQ Level 10,Trinity College Dublin,10
6469,2013,"Business, Administration and Law",NFQ Level 6,Athlone IT,70
6471,2013,"Business, Administration and Law",NFQ Level 6,IT Blanchardstown,10
6474,2013,"Business, Administration and Law",NFQ Level 6,IT Carlow,20
6479,2013,"Business, Administration and Law",NFQ Level 6,Dublin Institute of Technology,120
6482,2013,"Business, Administration and Law",NFQ Level 6,Limerick IT,30
6490,2013,"Business, Administration and Law",NFQ Level 6,IT Sligo,20
6491,2013,"Business, Administration and Law",NFQ Level 6,IT Tallaght,10
6492,2013,"Business, Administration and Law",NFQ Level 6,IT Tralee,10
6495,2013,"Business, Administration and Law",NFQ Level 6,Waterford IT,40
6498,2013,"Business, Administration and Law",NFQ Level 7,Athlone IT,60
6500,2013,"Business, Administration and Law",NFQ Level 7,IT Blanchardstown,30
6502,2013,"Business, Administration and Law",NFQ Level 7,Cork IT,140
6503,2013,"Business, Administration and Law",NFQ Level 7,IT Carlow,80
6505,2013,"Business, Administration and Law",NFQ Level 7,Dundalk IT,130
6506,2013,"Business, Administration and Law",NFQ Level 7,"Dun Laoghaire Institute of Art, Design and Technology",30
6508,2013,"Business, Administration and Law",NFQ Level 7,Dublin Institute of Technology,10
6509,2013,"Business, Administration and Law",NFQ Level 7,Galway-Mayo IT,120
6511,2013,"Business, Administration and Law",NFQ Level 7,Limerick IT,50
6513,2013,"Business, Administration and Law",NFQ Level 7,Letterkenny IT,30
6519,2013,"Business, Administration and Law",NFQ Level 7,IT Sligo,100
6520,2013,"Business, Administration and Law",NFQ Level 7,IT Tallaght,80
6521,2013,"Business, Administration and Law",NFQ Level 7,IT Tralee,20
6524,2013,"Business, Administration and Law",NFQ Level 7,Waterford IT,40
6527,2013,"Business, Administration and Law",NFQ Level 8,Athlone IT,100
6529,2013,"Business, Administration and Law",NFQ Level 8,IT Blanchardstown,50
6530,2013,"Business, Administration and Law",NFQ Level 8,University College Cork,490
6531,2013,"Business, Administration and Law",NFQ Level 8,Cork IT,220
6532,2013,"Business, Administration and Law",NFQ Level 8,IT Carlow,140
6533,2013,"Business, Administration and Law",NFQ Level 8,Dublin City University,440
6534,2013,"Business, Administration and Law",NFQ Level 8,Dundalk IT,190
6535,2013,"Business, Administration and Law",NFQ Level 8,"Dun Laoghaire Institute of Art, Design and Technology",90
6536,2013,"Business, Administration and Law",NFQ Level 8,University College Dublin,650
6537,2013,"Business, Administration and Law",NFQ Level 8,Dublin Institute of Technology,500
6538,2013,"Business, Administration and Law",NFQ Level 8,Galway-Mayo IT,140
6539,2013,"Business, Administration and Law",NFQ Level 8,"National University of Ireland, Galway",560
6540,2013,"Business, Administration and Law",NFQ Level 8,Limerick IT,150
6541,2013,"Business, Administration and Law",NFQ Level 8,University of Limerick,480
6542,2013,"Business, Administration and Law",NFQ Level 8,Letterkenny IT,60
6544,2013,"Business, Administration and Law",NFQ Level 8,Maynooth University,240
6548,2013,"Business, Administration and Law",NFQ Level 8,IT Sligo,160
6549,2013,"Business, Administration and Law",NFQ Level 8,IT Tallaght,180
6550,2013,"Business, Administration and Law",NFQ Level 8,IT Tralee,30
6551,2013,"Business, Administration and Law",NFQ Level 8,Trinity College Dublin,240
6553,2013,"Business, Administration and Law",NFQ Level 8,Waterford IT,230
6556,2013,"Business, Administration and Law",NFQ Level 9,Athlone IT,20
6559,2013,"Business, Administration and Law",NFQ Level 9,University College Cork,190
6560,2013,"Business, Administration and Law",NFQ Level 9,Cork IT,20
6561,2013,"Business, Administration and Law",NFQ Level 9,IT Carlow,10
6562,2013,"Business, Administration and Law",NFQ Level 9,Dublin City University,210
6563,2013,"Business, Administration and Law",NFQ Level 9,Dundalk IT,20
6565,2013,"Business, Administration and Law",NFQ Level 9,University College Dublin,920
6566,2013,"Business, Administration and Law",NFQ Level 9,Dublin Institute of Technology,300
6567,2013,"Business, Administration and Law",NFQ Level 9,Galway-Mayo IT,10
6568,2013,"Business, Administration and Law",NFQ Level 9,"National University of Ireland, Galway",170
6569,2013,"Business, Administration and Law",NFQ Level 9,Limerick IT,10
6570,2013,"Business, Administration and Law",NFQ Level 9,University of Limerick,190
6571,2013,"Business, Administration and Law",NFQ Level 9,Letterkenny IT,20
6573,2013,"Business, Administration and Law",NFQ Level 9,Maynooth University,100
6580,2013,"Business, Administration and Law",NFQ Level 9,Trinity College Dublin,140
6582,2013,"Business, Administration and Law",NFQ Level 9,Waterford IT,50
6588,2013,"Business, Administration and Law",NFQ Level 10,University College Cork,10
6595,2013,"Business, Administration and Law",NFQ Level 10,Dublin Institute of Technology,10
6597,2013,"Business, Administration and Law",NFQ Level 10,"National University of Ireland, Galway",10
6643,2013,"Natural Sciences, Mathematics and Statistics",NFQ Level 6,Athlone IT,10
6648,2013,"Natural Sciences, Mathematics and Statistics",NFQ Level 6,IT Carlow,10
6656,2013,"Natural Sciences, Mathematics and Statistics",NFQ Level 6,Limerick IT,10
6658,2013,"Natural Sciences, Mathematics and Statistics",NFQ Level 6,Letterkenny IT,10
